location,datetime,res_stor_content,res_forebay_elev,daily_mean_comp_inflow,daily_mean_air_temp,daily_min_air_temp,daily_max_air_temp,tot_precip_daily,tot_year_precip,daily_mean_tot_dis,daily_mean_river_dis,daily_mean_spill_dis,daily_mean_gate_opening
Shadehill,"2020-01-01 00:00",103157.0,2268.44,5.164,40.786,35.01,48.08,0.02,0.6,51.044,51.044,0.0,0.35
Shadehill,"2020-01-02 00:00",103112.0,2268.43,28.341,38.311,34.61,43.5,0.0,0.6,51.029,51.029,0.0,0.35
Shadehill,"2020-01-03 00:00",103066.0,2268.42,27.828,31.095,23.5,40.24,0.0,0.6,51.02,51.02,0.0,0.35
Shadehill,"2020-01-04 00:00",103066.0,2268.42,51.024,41.147,28.21,50.04,0.0,0.6,51.024,51.024,0.0,0.35
Shadehill,"2020-01-05 00:00",103066.0,2268.42,51.013,37.735,28.21,44.94,0.0,0.6,51.013,51.013,0.0,0.35
Shadehill,"2020-01-06 00:00",103066.0,2268.42,51.017,32.147,24.16,45.2,0.0,0.6,51.017,51.017,0.0,0.35
Shadehill,"2020-01-07 00:00",103066.0,2268.42,51.01,29.545,23.63,36.05,0.0,0.6,51.01,51.01,0.0,0.35
Shadehill,"2020-01-08 00:00",103112.0,2268.43,74.212,21.873,18.67,25.2,0.0,0.6,51.02,51.02,0.0,0.35
Shadehill,"2020-01-09 00:00",102976.0,2268.4,-17.559,25.044,16.44,36.05,0.0,0.6,51.008,51.008,0.0,0.35
Shadehill,"2020-01-10 00:00",102976.0,2268.4,50.991,13.013,4.81,22.59,0.0,0.6,50.991,50.991,0.0,0.35
Shadehill,"2020-01-11 00:00",103021.0,2268.41,73.694,10.714,2.58,15.79,0.0,0.6,51.006,51.006,0.0,0.35
Shadehill,"2020-01-12 00:00",102930.0,2268.39,5.11,18.79,12.52,30.17,0.0,0.6,50.989,50.989,0.0,0.35
Shadehill,"2020-01-13 00:00",102841.0,2268.37,6.065,14.893,4.42,19.84,0.0,0.6,50.936,50.936,0.0,0.35
Shadehill,"2020-01-14 00:00",102795.0,2268.36,27.661,0.251,-4.33,4.68,0.0,0.6,50.853,50.853,0.0,0.35
Shadehill,"2020-01-15 00:00",102659.0,2268.33,-17.794,-3.583,-11.39,6.38,0.0,0.6,50.773,50.773,0.0,0.35
Shadehill,"2020-01-16 00:00",102705.0,2268.34,73.936,1.777,-12.57,13.44,0.0,0.6,50.745,50.745,0.0,0.35
Shadehill,"2020-01-17 00:00",102478.0,2268.29,-63.797,18.621,4.94,35.92,0.01,0.61,50.649,50.649,0.0,0.35
Shadehill,"2020-01-18 00:00",102388.0,2268.27,5.12,4.389,-1.85,12.39,0.0,0.61,50.495,50.495,0.0,0.35
Shadehill,"2020-01-19 00:00",102297.0,2268.25,4.529,3.141,-2.77,15.0,0.0,0.61,50.409,50.409,0.0,0.35
Shadehill,"2020-01-20 00:00",101981.0,2268.18,-109.018,10.026,-3.16,25.59,0.0,0.61,50.299,50.299,0.0,0.35
Shadehill,"2020-01-21 00:00",101801.0,2268.14,-40.622,31.757,10.56,50.7,0.0,0.61,50.128,50.128,0.0,0.35
Shadehill,"2020-01-22 00:00",101667.0,2268.11,-17.453,38.762,33.31,47.95,0.02,0.63,50.105,50.105,0.0,0.35
Shadehill,"2020-01-23 00:00",101667.0,2268.11,50.092,30.104,24.94,35.92,0.01,0.64,50.092,50.092,0.0,0.35
Shadehill,"2020-01-24 00:00",101756.0,2268.13,94.971,27.603,24.94,31.48,0.0,0.64,50.1,50.1,0.0,0.35
Shadehill,"2020-01-25 00:00",101712.0,2268.12,27.917,37.006,26.64,52.39,0.0,0.64,50.1,50.1,0.0,0.35
Shadehill,"2020-01-26 00:00",101622.0,2268.1,4.714,35.34,31.61,38.28,0.0,0.64,50.089,50.089,0.0,0.35
Shadehill,"2020-01-27 00:00",101442.0,2268.06,-40.682,34.133,30.82,36.58,0.0,0.64,50.068,50.068,0.0,0.35
Shadehill,"2020-01-28 00:00",101442.0,2268.06,50.052,37.801,28.6,50.17,0.0,0.64,50.052,50.052,0.0,0.35
Shadehill,"2020-01-29 00:00",101442.0,2268.06,50.048,31.265,23.24,48.73,0.0,0.64,50.048,50.048,0.0,0.35
Shadehill,"2020-01-30 00:00",101397.0,2268.05,27.359,29.696,16.97,42.59,0.04,0.68,50.047,50.047,0.0,0.35
Shadehill,"2020-01-31 00:00",101397.0,2268.05,50.041,32.583,22.72,44.55,0.0,0.68,50.041,50.041,0.0,0.35
Shadehill,"2020-02-01 00:00",101442.0,2268.06,72.734,46.318,30.17,57.23,0.0,0.68,50.047,50.047,0.0,0.35
Shadehill,"2020-02-02 00:00",101397.0,2268.05,27.351,40.616,32.78,48.86,0.0,0.68,50.039,50.039,0.0,0.35
Shadehill,"2020-02-03 00:00",101397.0,2268.05,50.039,28.893,23.37,32.92,0.0,0.68,50.039,50.039,0.0,0.35
Shadehill,"2020-02-04 00:00",101577.0,2268.09,121.769,27.216,20.36,36.97,0.0,0.68,50.08,50.08,0.0,0.35
Shadehill,"2020-02-05 00:00",101712.0,2268.12,68.063,29.393,18.14,40.24,0.0,0.68,50.1,50.1,0.0,0.35
Shadehill,"2020-02-06 00:00",101667.0,2268.11,-22.688,29.869,18.01,37.88,0.0,0.68,50.09,50.09,0.0,0.35
Shadehill,"2020-02-07 00:00",101667.0,2268.11,0.0,22.646,14.74,30.69,0.0,0.68,50.09,50.09,0.0,0.35
Shadehill,"2020-02-08 00:00",101667.0,2268.11,0.0,29.028,16.83,38.8,0.0,0.68,50.09,50.09,0.0,0.35
Shadehill,"2020-02-09 00:00",101801.0,2268.14,67.558,27.649,22.2,32.52,0.0,0.68,50.12,50.12,0.0,0.35
Shadehill,"2020-02-10 00:00",101712.0,2268.12,-44.871,28.95,20.63,36.05,0.0,0.68,50.1,50.1,0.0,0.35
Shadehill,"2020-02-11 00:00",101891.0,2268.16,117.658,28.096,13.57,38.14,0.0,0.68,50.14,50.14,0.0,0.35
Shadehill,"2020-02-12 00:00",101712.0,2268.12,-40.142,11.818,-7.34,35.92,0.0,0.68,50.104,50.104,0.0,0.35
Shadehill,"2020-02-13 00:00",101801.0,2268.14,94.972,-0.552,-15.18,10.56,0.0,0.68,50.101,50.101,0.0,0.35
Shadehill,"2020-02-14 00:00",101712.0,2268.12,5.241,25.055,4.42,45.6,0.01,0.69,50.112,50.112,0.0,0.35
Shadehill,"2020-02-15 00:00",101667.0,2268.11,27.406,32.771,24.68,41.41,0.0,0.69,50.094,50.094,0.0,0.35
Shadehill,"2020-02-16 00:00",101577.0,2268.09,4.712,30.614,21.15,42.46,0.0,0.69,50.087,50.087,0.0,0.35
Shadehill,"2020-02-17 00:00",101487.0,2268.07,4.693,29.792,23.5,36.71,0.0,0.69,50.068,50.068,0.0,0.35
Shadehill,"2020-02-18 00:00",101397.0,2268.05,4.674,14.071,6.77,28.21,0.0,0.69,50.049,50.049,0.0,0.35
Shadehill,"2020-02-19 00:00",101397.0,2268.05,50.039,11.271,5.85,19.97,0.0,0.69,50.039,50.039,0.0,0.35
Shadehill,"2020-02-20 00:00",101442.0,2268.06,72.734,25.737,10.17,40.63,0.0,0.69,50.046,50.046,0.0,0.35
Shadehill,"2020-02-21 00:00",101442.0,2268.06,50.047,35.837,23.5,48.86,0.0,0.69,50.047,50.047,0.0,0.35
Shadehill,"2020-02-22 00:00",101352.0,2268.04,4.661,39.226,27.29,53.96,0.0,0.69,50.036,50.036,0.0,0.35
Shadehill,"2020-02-23 00:00",101308.0,2268.03,27.84,36.894,29.65,46.77,0.0,0.69,50.023,50.023,0.0,0.35
Shadehill,"2020-02-24 00:00",101263.0,2268.02,27.336,32.703,29.65,36.84,0.0,0.69,50.024,50.024,0.0,0.35
Shadehill,"2020-02-25 00:00",101397.0,2268.05,117.576,26.026,11.87,33.18,0.12,0.81,50.018,50.018,0.0,0.35
Shadehill,"2020-02-26 00:00",101712.0,2268.12,208.884,22.61,3.76,35.4,0.0,0.81,50.071,50.071,0.0,0.35
Shadehill,"2020-02-27 00:00",102117.0,2268.21,254.321,36.349,25.99,46.9,0.0,0.81,50.133,50.133,0.0,0.35
Shadehill,"2020-02-28 00:00",102930.0,2268.39,460.433,41.322,32.39,55.01,0.0,0.81,50.545,50.545,0.0,0.35
Shadehill,"2020-02-29 00:00",103703.0,2268.56,440.792,43.564,31.08,62.85,0.0,0.81,51.071,51.071,0.0,0.35
Shadehill,"2020-03-01 00:00",104801.0,2268.8,604.74,34.577,24.81,38.67,0.0,0.81,51.164,51.164,0.0,0.35
Shadehill,"2020-03-02 00:00",105675.0,2268.99,491.888,35.551,24.29,46.25,0.0,0.81,51.246,51.246,0.0,0.35
Shadehill,"2020-03-03 00:00",107205.0,2269.32,823.389,37.477,32.0,44.81,0.02,0.83,52.014,52.014,0.0,0.35
Shadehill,"2020-03-04 00:00",108796.0,2269.66,854.461,42.283,32.52,60.37,0.0,0.83,52.332,52.332,0.0,0.35
Shadehill,"2020-03-05 00:00",109740.0,2269.86,528.462,39.502,32.26,47.82,0.0,0.83,52.529,52.529,0.0,0.35
Shadehill,"2020-03-06 00:00",110832.0,2270.09,603.697,42.723,29.39,58.67,0.0,0.83,53.146,53.146,0.0,0.35
Shadehill,"2020-03-07 00:00",112027.0,2270.34,655.966,49.625,31.48,75.53,0.0,0.83,53.486,53.486,0.0,0.35
Shadehill,"2020-03-08 00:00",112747.0,2270.49,416.523,38.559,28.47,49.26,0.0,0.83,53.523,53.523,0.0,0.35
Shadehill,"2020-03-09 00:00",113422.0,2270.63,393.95,33.462,24.29,46.77,0.0,0.83,53.637,53.637,0.0,0.35
Shadehill,"2020-03-10 00:00",114344.0,2270.82,519.009,39.142,31.08,51.74,0.02,0.85,54.167,54.167,0.0,0.35
Shadehill,"2020-03-11 00:00",114781.0,2270.91,274.88,46.492,37.1,59.06,0.08,0.93,54.559,54.559,0.0,0.35
Shadehill,"2020-03-12 00:00",115221.0,2271.0,276.463,36.89,28.86,41.67,0.0,0.93,54.629,54.629,0.0,0.35
Shadehill,"2020-03-13 00:00",115661.0,2271.09,276.5,31.817,26.12,38.14,0.0,0.93,54.667,54.667,0.0,0.35
Shadehill,"2020-03-14 00:00",116052.0,2271.17,251.796,27.044,22.59,31.22,0.0,0.93,54.667,54.667,0.0,0.35
Shadehill,"2020-03-15 00:00",116594.0,2271.28,327.953,33.349,30.04,36.84,0.0,0.93,54.695,54.695,0.0,0.35
Shadehill,"2020-03-16 00:00",116889.0,2271.34,203.483,30.058,25.33,35.4,0.0,0.93,54.754,54.754,0.0,0.35
Shadehill,"2020-03-17 00:00",117135.0,2271.39,178.834,31.713,16.44,42.59,0.0,0.93,54.809,54.809,0.0,0.35
Shadehill,"2020-03-18 00:00",117432.0,2271.45,204.66,37.247,30.3,45.86,0.0,0.93,54.922,54.922,0.0,0.35
Shadehill,"2020-03-19 00:00",117630.0,2271.49,154.966,23.366,12.65,34.75,0.0,0.93,55.141,55.141,0.0,0.35
Shadehill,"2020-03-20 00:00",118077.0,2271.58,280.763,20.454,8.86,31.48,0.0,0.93,55.401,55.401,0.0,0.35
Shadehill,"2020-03-21 00:00",118275.0,2271.62,155.475,33.895,15.53,55.01,0.0,0.93,55.65,55.65,0.0,0.35
Shadehill,"2020-03-22 00:00",118473.0,2271.66,155.525,38.522,26.51,51.61,0.0,0.93,55.7,55.7,0.0,0.35
Shadehill,"2020-03-23 00:00",118772.0,2271.72,206.488,44.171,24.55,59.85,0.0,0.93,55.742,55.742,0.0,0.35
Shadehill,"2020-03-24 00:00",118922.0,2271.75,131.405,45.15,29.39,61.28,0.0,0.93,55.78,55.78,0.0,0.35
Shadehill,"2020-03-25 00:00",119171.0,2271.8,181.345,32.867,29.65,41.41,0.01,0.94,55.808,55.808,0.0,0.35
Shadehill,"2020-03-26 00:00",119371.0,2271.84,156.666,36.096,31.08,42.33,0.0,0.94,55.833,55.833,0.0,0.35
Shadehill,"2020-03-27 00:00",119521.0,2271.87,131.458,44.906,35.79,58.15,0.0,0.94,55.833,55.833,0.0,0.35
Shadehill,"2020-03-28 00:00",119721.0,2271.91,156.667,44.208,28.47,60.5,0.0,0.94,55.833,55.833,0.0,0.35
Shadehill,"2020-03-29 00:00",119821.0,2271.93,106.25,48.876,37.1,64.03,0.0,0.94,55.833,55.833,0.0,0.35
Shadehill,"2020-03-30 00:00",119971.0,2271.96,131.458,50.207,34.88,65.73,0.0,0.94,55.833,55.833,0.0,0.35
Shadehill,"2020-03-31 00:00",120022.0,2271.97,81.546,50.534,41.81,64.68,0.0,0.94,55.833,55.833,0.0,0.35
Shadehill,"2020-04-01 00:00",120022.0,2271.97,55.833,32.466,20.1,40.89,0.0,0.94,55.833,55.833,0.0,0.35
Shadehill,"2020-04-02 00:00",120022.0,2271.97,55.833,15.896,11.74,19.84,0.0,0.94,55.833,55.833,0.0,0.35
Shadehill,"2020-04-03 00:00",120072.0,2271.98,81.042,18.443,6.9,27.42,0.0,0.94,55.833,55.833,0.0,0.35
Shadehill,"2020-04-04 00:00",120172.0,2272.0,106.25,31.483,11.08,50.7,0.0,0.94,55.833,55.833,0.0,0.35
Shadehill,"2020-04-05 00:00",120222.0,2272.01,82.16,41.53,24.42,56.45,0.0,0.94,56.952,55.833,1.119,0.35
Shadehill,"2020-04-06 00:00",120222.0,2272.01,60.392,50.445,31.08,71.09,0.0,0.94,60.392,55.833,4.559,0.35
Shadehill,"2020-04-07 00:00",120222.0,2272.01,61.155,54.025,38.93,67.56,0.0,0.94,61.155,55.833,5.322,0.35
Shadehill,"2020-04-08 00:00",120222.0,2272.01,57.562,42.488,32.65,49.0,0.0,0.94,57.562,55.833,1.729,0.35
Shadehill,"2020-04-09 00:00",120172.0,2272.0,30.981,34.193,27.56,42.98,0.0,0.94,56.189,55.833,0.356,0.35
Shadehill,"2020-04-10 00:00",120273.0,2272.02,111.499,44.01,24.42,62.72,0.0,0.94,60.579,55.833,4.745,0.35
Shadehill,"2020-04-11 00:00",120222.0,2272.01,34.188,35.669,31.48,43.64,0.0,0.94,59.901,55.833,4.067,0.35
Shadehill,"2020-04-12 00:00",120172.0,2272.0,30.981,28.13,22.98,33.18,0.0,0.94,56.189,55.833,0.356,0.35
Shadehill,"2020-04-13 00:00",120122.0,2271.99,30.625,23.523,16.18,28.6,0.0,0.94,55.833,55.833,0.0,0.35
Shadehill,"2020-04-14 00:00",120122.0,2271.99,55.833,27.542,18.8,35.53,0.0,0.94,55.833,55.833,0.0,0.35
Shadehill,"2020-04-15 00:00",120072.0,2271.98,30.625,31.089,18.14,43.9,0.01,0.95,55.833,55.833,0.0,0.35
